,Title,Link,Image,Date,Location
0,"
                Patent Specifications & Contents              ",https://www.npcindia.gov.in/NPC/User/webinar_registration?course_select_id=ODE=,http://startupbuddy.co.in/imagesDB/1590577921_WhatsApp-Image-2020-05-26-at-42523-PM-2.jpeg,"
                  Date :  02-June-2020                ","
                  Location : ONLINE                "
1,"
                What Investor Look For?              ",https://docs.google.com/forms/d/e/1FAIpQLSf88XO04ylerBAlU6Wy9VMAc0cOjcucoDzyHha9KkVekxrGyw/viewform,http://startupbuddy.co.in/imagesDB/1590402978_WhatsApp-Image-2020-05-20-at-104959-PM-1.jpeg,"
                  Date :  05-June-2020                ","
                  Location : ONLINE                "
2,"
                Launch of 100 Startups J&K              ",meet.google.com/edd-hsnf-dfk,http://startupbuddy.co.in/imagesDB/1591336709_WhatsApp-Image-2020-06-03-at-50102-PM-2.jpeg,"
                  Date :  05-June-2020                ","
                  Location : ONLINE                "
3,"
                Global Incubation Meet              ",https://forms.gle/8CBxjZAXjhyyXBv26,http://startupbuddy.co.in/imagesDB/1590402820_WhatsApp-Image-2020-05-21-at-23600-PM-1.jpeg,"
                  Date :  06-June-2020                ","
                  Location : ONLINE                "
4,"
                Global Business Perspective in Post Covid Recovery              ",https://www.facebook.com/search/top/?q=gtfindia2018,http://startupbuddy.co.in/imagesDB/1591786278_WhatsApp-Image-2020-06-10-at-34756-PM.jpeg,"
                  Date :  12-June-2020                ","
                  Location : ONLINE                "
5,"
                SG Women Month              ",https://bit.ly/2MAu0S0,http://startupbuddy.co.in/imagesDB/1592225228_WhatsApp-Image-2020-06-11-at-61318-PM.jpeg,"
                  Date :  12-June-2020                ","
                  Location : ONLINE                "
6,"
                SG Women Month              ",https://bit.ly/375bSJf,http://startupbuddy.co.in/imagesDB/1592225788_WhatsApp-Image-2020-06-15-at-61541-PM.jpeg,"
                  Date :  18-June-2020                ","
                  Location : ONLINE                "
7,"
                Business Research for Idea Validation and market Sizing              ",https://lnkd.in/dXFUst2,http://startupbuddy.co.in/imagesDB/1592556467_WhatsApp-Image-2020-06-19-at-13740-PM.jpeg,"
                  Date :  20-June-2020                ","
                  Location : ONLINE                "
8,"
                Webinars on Global Startup Programs              ",http://startupgoingglobal.com/events/?fbclid=IwAR0Z1DTcmwrl5Fy1PEYgBsR_ptcdnS20EbAoeONaDCYbPDwAzZCcXdfqbHU,http://startupbuddy.co.in/imagesDB/1591771029_WhatsApp-Image-2020-06-10-at-103744-AM.jpeg,"
                  Date :  23-June-2020                ","
                  Location : ONLINE                "
9,"
                SHE LEADS Listen to a woman's story amidst her professional growth              ",https://lnkd.in/g8PKNEx,http://startupbuddy.co.in/imagesDB/1592556125_WhatsApp-Image-2020-06-19-at-13724-PM.jpeg,"
                  Date :  26-June-2020                ","
                  Location : ONLINE                "
10,"
                Importance of IPR before pitching to Investors              ",https://docs.google.com/forms/d/e/1FAIpQLSf88XO04ylerBAlU6Wy9VMAc0cOjcucoDzyHha9KkVekxrGyw/viewform,http://startupbuddy.co.in/imagesDB/1592631622_WhatsApp-Image-2020-06-20-at-110218-AM.jpeg,"
                  Date :  28-June-2020                ","
                  Location : ONLINE                "
11,"
                Global Incubation Meet              ",https://docs.google.com/forms/d/e/1FAIpQLScaM4kBBVhOiEVDkvjQVyAhMK7kEQGJRo-GhF8PyB6Bel5iFQ/viewform,http://startupbuddy.co.in/imagesDB/1592556641_WhatsApp-Image-2020-06-19-at-20224-PM.jpeg,"
                  Date :  11-July-2020                ","
                  Location : ONLINE                "
12,"
                Startup stories are built here              ",https://aic.nmims.edu/apply-now/,http://startupbuddy.co.in/imagesDB/1590401911_WhatsApp-Image-2020-05-25-at-30916-PM.jpeg,"
                  Date :  15-July-2020                ","
                  Location : ONLINE                "
13,"
                Starable Enabling Special Care Initiatives              ",https://www.startupindia.gov.in/content/sih/en/ams-application/challenge.html?applicationId=5ec8fd66e4b0e7503397fe12,http://startupbuddy.co.in/imagesDB/1592482192_WhatsApp-Image-2020-06-18-at-10358-PM.jpeg,"
                  Date :  31-July-2020                ","
                  Location : ONLINE                "
